vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,FinQuery,申万计算机行业成分股,1,行业成分股,,,"|股票名称|股票代码|行业名称|行业级别|行业类别|
|智莱科技|300771|计算机|一级行业|申万行业分类|
|唐源电气|300789|计算机|一级行业|申万行业分类|
|宇瞳光学|300790|计算机|一级行业|申万行业分类|
|指南针|300803|计算机|一级行业|申万行业分类|
|天迈科技|300807|计算机|一级行业|申万行业分类|
|金现代|300830|计算机|一级行业|申万行业分类|
|捷安高科|300845|计算机|一级行业|申万行业分类|
|首都在线|300846|计算机|一级行业|申万行业分类|
|中船汉光|300847|计算机|一级行业|申万行业分类|
|天阳科技|300872|计算机|一级行业|申万行业分类|
|狄耐克|300884|计算机|一级行业|申万行业分类|
|铜牛信息|300895|计算机|一级行业|申万行业分类|
|法本信息|300925|计算机|一级行业|申万行业分类|
|盈建科|300935|计算机|一级行业|申万行业分类|
|创识科技|300941|计算机|一级行业|申万行业分类|
|普联软件|300996|计算机|一级行业|申万行业分类|
|安联锐视|301042|计算机|一级行业|申万行业分类|
|亚康股份|301085|计算机|一级行业|申万行业分类|
|广立微|301095|计算机|一级行业|申万行业分类|
|ST佳缘|301117|计算机|一级行业|申万行业分类|
|中科江南|301153|计算机|一级行业|申万行业分类|
|三维天地|301159|计算机|一级行业|申万行业分类|
|国能日新|301162|计算机|一级行业|申万行业分类|
|君逸数码|301172|计算机|一级行业|申万行业分类|
|天亿马|301178|计算机|一级行业|申万行业分类|
|凯旺科技|301182|计算机|一级行业|申万行业分类|
|鸥玛软件|301185|计算机|一级行业|申万行业分类|
|北路智控|301195|计算机|一级行业|申万行业分类|
|中亦科技|301208|计算机|一级行业|申万行业分类|
|华是科技|301218|计算机|一级行业|申万行业分类|
|软通动力|301236|计算机|一级行业|申万行业分类|
|杰创智能|301248|计算机|一级行业|申万行业分类|
|华大九天|301269|计算机|一级行业|申万行业分类|
|汉仪股份|301270|计算机|一级行业|申万行业分类|
|威士顿|301315|计算机|一级行业|申万行业分类|
|慧博云通|301316|计算机|一级行业|申万行业分类|
|维海德|301318|计算机|一级行业|申万行业分类|
|熵基科技|301330|计算机|一级行业|申万行业分类|
|亚华电子|301337|计算机|一级行业|申万行业分类|
|通行宝|301339|计算机|一级行业|申万行业分类|
|通达海|301378|计算机|一级行业|申万行业分类|
|卡莱特|301391|计算机|一级行业|申万行业分类|
