vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,FinQuery,申万机械设备行业成分股,1,行业成分股,,,"|股票名称|股票代码|行业名称|行业级别|行业类别|
|新莱应材|300260|机械设备|一级行业|申万行业分类|
|隆华科技|300263|机械设备|一级行业|申万行业分类|
|三丰智能|300276|机械设备|一级行业|申万行业分类|
|华昌达|300278|机械设备|一级行业|申万行业分类|
|金明精机|300281|机械设备|一级行业|申万行业分类|
|蓝英装备|300293|机械设备|一级行业|申万行业分类|
|远方信息|300306|机械设备|一级行业|申万行业分类|
|慈星股份|300307|机械设备|一级行业|申万行业分类|
|金卡智能|300349|机械设备|一级行业|申万行业分类|
|永贵电器|300351|机械设备|一级行业|申万行业分类|
|东华测试|300354|机械设备|一级行业|申万行业分类|
|汇中股份|300371|机械设备|一级行业|申万行业分类|
|斯莱克|300382|机械设备|一级行业|申万行业分类|
|劲拓股份|300400|机械设备|一级行业|申万行业分类|
|宝色股份|300402|机械设备|一级行业|申万行业分类|
|金盾股份|300411|机械设备|一级行业|申万行业分类|
|迦南科技|300412|机械设备|一级行业|申万行业分类|
|伊之密|300415|机械设备|一级行业|申万行业分类|
|南华仪器|300417|机械设备|一级行业|申万行业分类|
|五洋自控|300420|机械设备|一级行业|申万行业分类|
|力星股份|300421|机械设备|一级行业|申万行业分类|
|中泰股份|300435|机械设备|一级行业|申万行业分类|
|鲍斯股份|300441|机械设备|一级行业|申万行业分类|
|田中精机|300461|机械设备|一级行业|申万行业分类|
|赛摩智能|300466|机械设备|一级行业|申万行业分类|
|中密控股|300470|机械设备|一级行业|申万行业分类|
|厚普股份|300471|机械设备|一级行业|申万行业分类|
|ST新元|300472|机械设备|一级行业|申万行业分类|
|光力科技|300480|机械设备|一级行业|申万行业分类|
|蓝海华腾|300484|机械设备|一级行业|申万行业分类|
|东杰智能|300486|机械设备|一级行业|申万行业分类|
|恒锋工具|300488|机械设备|一级行业|申万行业分类|
|高澜股份|300499|机械设备|一级行业|申万行业分类|
|昊志机电|300503|机械设备|一级行业|申万行业分类|
|新美星|300509|机械设备|一级行业|申万行业分类|
|中亚股份|300512|机械设备|一级行业|申万行业分类|
|三德科技|300515|机械设备|一级行业|申万行业分类|
|爱司凯|300521|机械设备|一级行业|申万行业分类|
|蜀道装备|300540|机械设备|一级行业|申万行业分类|
|优德精密|300549|机械设备|一级行业|申万行业分类|
|集智股份|300553|机械设备|一级行业|申万行业分类|
|三超新材|300554|机械设备|一级行业|申万行业分类|
|理工光科|300557|机械设备|一级行业|申万行业分类|
|精测电子|300567|机械设备|一级行业|申万行业分类|
|安车检测|300572|机械设备|一级行业|申万行业分类|
|ST朗进|300594|机械设备|一级行业|申万行业分类|
|金太阳|300606|机械设备|一级行业|申万行业分类|
