vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,FinQuery,申万医药生物行业成分股,1,指数成分股,,,"|指数代码|指数简称|股票代码|股票简称|权重(%)|收盘价(元)|涨跌(元)|涨跌幅(%)|指数贡献点|成交量(万股)|成交额(万元)|总股本(亿股)|总市值(亿元)|自由流通股本(亿股)|自由流通市值(亿元)|证监会行业|纳入日期|
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
|801150.SI|申万医药生物|688806.SH|泰诺麦博|-|20.11|-0.61|-2.94|-|305.09|6129.85|4.61|92.62|0.51|10.26|医药制造业|2026-07-28|
|801150.SI|申万医药生物|688805.SH|健信超导|-|38.15|-0.57|-1.47|-|89.79|3405.67|1.68|63.97|0.34|12.79|专用设备制造业|2025-12-31|
|801150.SI|申万医药生物|688799.SH|华纳药厂|-|46.21|-0.73|-1.56|-|118.33|5472.54|1.34|61.75|0.62|28.76|医药制造业|2023-09-25|
|801150.SI|申万医药生物|688796.SH|百奥赛图|-|120.40|-2.10|-1.71|-|256.00|30407.07|4.47|538.07|0.39|46.48|研究和试验发展|2025-12-17|
|801150.SI|申万医药生物|688767.SH|博拓生物|-|36.40|-0.65|-1.75|-|124.44|4516.09|1.49|54.36|0.66|24.00|医药制造业|2023-09-25|
|801150.SI|申万医药生物|688765.SH|禾元生物|-|35.42|-0.82|-2.26|-|225.46|7978.28|3.58|126.63|0.72|25.49|医药制造业|2025-11-04|
|801150.SI|申万医药生物|688759.SH|必贝特|-|20.25|-0.88|-4.16|-|363.23|7356.92|4.50|91.13|0.72|14.58|医药制造业|2025-11-04|
|801150.SI|申万医药生物|688758.SH|赛分科技|-|26.81|-0.69|-2.51|-|597.16|15923.56|4.16|111.65|1.89|50.68|化学原料和化学制品制造业|2025-01-17|
|801150.SI|申万医药生物|688755.SH|汉邦科技|-|24.56|-0.88|-3.46|-|89.41|2199.42|1.14|28.10|0.65|15.95|专用设备制造业|2025-05-23|
|801150.SI|申万医药生物|688739.SH|成大生物|-|19.85|-0.48|-2.36|-|254.18|5069.52|4.16|82.67|1.89|37.47|医药制造业|2023-09-25|
|801150.SI|申万医药生物|688712.SH|北芯生命|-|29.64|0.43|1.47|-|153.79|4503.84|4.17|123.60|0.46|13.52|专用设备制造业|2026-02-12|
|801150.SI|申万医药生物|688710.SH|益诺思|-|82.96|-1.49|-1.76|-|172.72|14382.40|1.41|116.96|0.58|48.16|研究和试验发展|2024-09-10|
|801150.SI|申万医药生物|688690.SH|纳微科技|-|41.11|-0.61|-1.46|-|852.04|34896.26|4.04|166.01|2.36|97.18|化学原料和化学制品制造业|2023-09-25|
|801150.SI|申万医药生物|688687.SH|凯因科技|-|16.86|-0.30|-1.75|-|171.74|2882.60|1.71|28.82|1.32|22.23|医药制造业|2023-09-25|
|801150.SI|申万医药生物|688677.SH|海泰新光|-|81.20|-5.94|-6.82|-|840.85|69132.37|1.20|97.34|0.79|64.22|专用设备制造业|2023-09-25|
|801150.SI|申万医药生物|688670.SH|金迪克|-|16.56|-0.55|-3.21|-|165.23|2721.78|1.23|20.40|0.44|7.31|医药制造业|2023-09-25|
|801150.SI|申万医药生物|688658.SH|悦康药业|-|12.32|-0.40|-3.14|-|1105.92|13638.46|4.50|55.44|2.33|28.68|医药制造业|2023-09-25|
|801150.SI|申万医药生物|688656.SH|浩欧博|-|118.57|-3.38|-2.77|-|89.34|10558.65|0.64|75.31|0.22|25.93|医药制造业|2023-09-25|
|801150.SI|申万医药生物|688626.SH|翔宇医疗|-|36.97|-1.07|-2.81|-|160.93|5953.20|1.60|59.15|0.57|20.92|专用设备制造业|2023-09-25|
|801150.SI|申万医药生物|688621.SH|阳光诺和|-|68.56|-1.04|-1.49|-|207.93|14136.55|1.12|76.79|0.76|52.02|研究和试验发展|2023-09-25|
|801150.SI|申万医药生物|688617.SH|惠泰医疗|-|242.85|2.95|1.23|-|360.86|87550.54|1.42|343.70|0.80|195.47|专用设备制造业|2023-09-25|
|801150.SI|申万医药生物|688613.SH|奥精医疗|-|15.03|-0.20|-1.31|-|308.11|4558.23|1.37|20.59|1.02|15.30|专用设备制造业|2023-09-25|
|801150.SI|申万医药生物|688607.SH|康众科技|-|37.51|-1.65|-4.21|-|108.53|4075.56|0.88|33.06|0.62|23.09|专用设备制造业|2023-09-25|
|801150.SI|申万医药生物|688606.SH|奥泰生物|-|43.76|-1.17|-2.60|-|26.11|1149.60|0.76|33.11|0.34|14.80|医药制造业|2023-09-25|
|801150.SI|申万医药生物|688581.SH|安杰思|-|55.40|4.94|9.79|-|306.29|16556.96|0.81|44.73|0.29|16.15|专用设备制造业|2023-09-25|
|801150.SI|申万医药生物|688580.SH|伟思医疗|-|40.50|-0.78|-1.89|-|108.47|4382.51|0.96|38.79|0.37|14.94|专用设备制造业|2023-09-25|
|801150.SI|申万医药生物|688578.SH|艾力斯|-|99.49|-3.21|-3.13|-|531.26|52721.93|4.50|447.71|2.25|223.63|医药制造业|2023-09-25|
|801150.SI|申万医药生物|688576.SH|西山科技|-|37.46|-0.79|-2.07|-|39.08|1465.04|0.68|25.34|0.23|8.60|专用设备制造业|2023-09-25|
|801150.SI|申万医药生物|688575.SH|亚辉龙|-|9.53|-0.23|-2.36|-|787.13|7516.11|5.71|54.45|3.08|29.38|医药制造业|2023-09-25|
|801150.SI|申万医药生物|688566.SH|吉贝尔|-|25.60|-0.35|-1.35|-|166.35|4244.20|2.01|51.48|0.63|16.05|医药制造业|2023-09-25|
|801150.SI|申万医药生物|688553.SH|汇宇制药|-|10.77|-0.34|-3.06|-|779.29|8391.67|6.26|67.41|3.78|40.67|医药制造业|2023-09-25|
|801150.SI|申万医药生物|688520.SH|神州细胞|-|32.41|-0.92|-2.76|-|162.09|5257.99|4.70|152.44|1.02|33.19|医药制造业|2023-09-25|
|801150.SI|申万医药生物|688513.SH|苑东生物|-|44.65|-1.88|-4.04|-|239.54|10663.29|1.77|78.82|0.81|36.17|医药制造业|2023-09-25|
|801150.SI|申万医药生物|688506.SH|百利天恒|-|238.62|-7.02|-2.86|-|147.84|35277.75|4.13|985.20|0.90|215.51|医药制造业|2023-09-25|
|801150.SI|申万医药生物|688505.SH|复旦张江|-|7.50|-0.15|-1.96|-|489.47|3663.29|10.37|77.74|3.47|26.03|医药制造业|2023-09-25|
|801150.SI|申万医药生物|688488.SH|艾迪药业|-|14.13|-0.61|-4.14|-|687.91|9659.78|4.21|59.46|2.13|30.10|医药制造业|2023-09-25|
|801150.SI|申万医药生物|688468.SH|科美诊断|-|6.17|-0.08|-1.28|-|289.89|1781.80|4.01|24.75|2.75|16.97|医药制造业|2023-09-25|
|801150.SI|申万医药生物|688443.SH|智翔金泰|-|21.89|-0.48|-2.15|-|191.62|4187.64|3.67|80.27|1.31|28.69|医药制造业|2023-09-25|
|801150.SI|申万医药生物|688428.SH|诺诚健华|-|26.33|-0.92|-3.38|-|1234.62|32572.17|17.69|465.81|2.70|71.12|医药制造业|2023-09-25|
|801150.SI|申万医药生物|688426.SH|康为世纪|-|20.37|-0.21|-1.02|-|145.26|2974.97|1.12|22.91|0.38|7.83|医药制造业|2023-09-25|
|801150.SI|申万医药生物|688410.SH|山外山|-|9.27|-0.25|-2.63|-|1080.32|9958.90|4.47|41.48|2.46|22.85|专用设备制造业|2023-09-25|
|801150.SI|申万医药生物|688399.SH|硕世生物|-|24.68|-0.69|-2.72|-|137.63|3398.70|1.24|30.64|0.73|18.08|医药制造业|2023-09-25|
|801150.SI|申万医药生物|688393.SH|安必平|-|18.79|-0.87|-4.43|-|188.29|3547.98|0.94|17.58|0.55|10.42|医药制造业|2023-09-25|
|801150.SI|申万医药生物|688389.SH|普门科技|-|10.84|-0.19|-1.72|-|188.11|2039.29|4.28|46.45|2.67|28.90|专用设备制造业|2023-09-25|
|801150.SI|申万医药生物|688382.SH|益方生物|-|17.19|-1.24|-6.73|-|1245.65|21617.98|5.80|99.63|4.22|72.54|医药制造业|2023-09-25|
|801150.SI|申万医药生物|688373.SH|盟科药业|-|5.04|-0.21|-4.00|-|750.51|3802.77|6.56|33.07|4.23|21.34|医药制造业|2023-09-25|
|801150.SI|申万医药生物|688366.SH|昊海生科|-|28.90|-0.69|-2.33|-|50.53|1459.74|2.29|66.13|0.85|24.53|专用设备制造业|2023-09-25|
|801150.SI|申万医药生物|688358.SH|祥生医疗|-|26.75|-0.60|-2.19|-|69.14|1844.73|1.12|29.99|0.33|8.85|专用设备制造业|2023-09-25|
|801150.SI|申万医药生物|688356.SH|键凯科技|-|74.18|-2.32|-3.03|-|284.77|21098.37|0.61|44.99|0.37|27.45|化学原料和化学制品制造业|2023-09-25|
|801150.SI|申万医药生物|688351.SH|微电生理|-|16.62|-0.68|-3.93|-|414.00|6878.99|4.71|78.21|1.37|22.80|专用设备制造业|2023-09-25|
|801150.SI|申万医药生物|688338.SH|赛科希德|-|28.64|-0.70|-2.39|-|133.01|3764.58|1.06|30.40|0.64|18.24|医药制造业|2023-09-25|
|801150.SI|申万医药生物|688336.SH|三生国健|-|38.07|-1.35|-3.42|-|464.25|17727.15|8.96|341.19|1.42|53.99|医药制造业|2023-09-25|
|801150.SI|申万医药生物|688331.SH|荣昌生物|-|114.72|0.65|0.57|-|493.65|55464.08|5.64|647.57|1.25|143.77|医药制造业|2023-09-25|
|801150.SI|申万医药生物|688321.SH|微芯生物|-|23.68|-0.82|-3.35|-|883.74|20969.17|4.43|104.89|3.34|79.00|医药制造业|2023-09-25|
|801150.SI|申万医药生物|688319.SH|欧林生物|-|27.31|-0.63|-2.25|-|594.95|16152.24|4.05|110.72|2.51|68.61|医药制造业|2023-09-25|
|801150.SI|申万医药生物|688317.SH|之江生物|-|16.02|-0.35|-2.14|-|104.80|1677.35|1.90|30.41|1.04|16.70|医药制造业|2023-09-25|
|801150.SI|申万医药生物|688315.SH|诺禾致源|-|12.81|-0.54|-4.04|-|489.92|6305.47|4.16|53.32|1.48|18.94|研究和试验发展|2023-09-25|
|801150.SI|申万医药生物|688314.SH|康拓医疗|-|29.89|-0.67|-2.19|-|71.51|2147.32|0.82|24.40|0.31|9.40|专用设备制造业|2023-09-25|
|801150.SI|申万医药生物|688302.SH|海创药业|-|29.13|-1.03|-3.42|-|133.62|3892.11|0.99|28.84|0.74|21.64|医药制造业|2023-09-25|
|801150.SI|申万医药生物|688301.SH|奕瑞科技|-|88.54|-1.87|-2.07|-|301.60|26520.45|3.13|277.49|2.29|202.33|专用设备制造业|2023-09-25|
|801150.SI|申万医药生物|688298.SH|东方生物|-|18.06|-0.51|-2.75|-|130.66|2366.12|2.02|36.41|0.98|17.73|医药制造业|2023-09-25|
|801150.SI|申万医药生物|688293.SH|奥浦迈|-|65.10|-1.76|-2.63|-|439.45|28622.93|1.42|92.57|0.81|52.54|研究和试验发展|2023-09-25|
|801150.SI|申万医药生物|688289.SH|圣湘生物|-|15.90|-0.26|-1.61|-|407.13|6483.53|5.75|91.42|3.26|51.81|医药制造业|2023-09-25|
|801150.SI|申万医药生物|688278.SH|特宝生物|-|52.05|-2.46|-4.51|-|306.16|16129.47|4.08|212.46|1.61|83.75|医药制造业|2023-09-25|
|801150.SI|申万医药生物|688277.SH|天智航|-|15.49|0.64|4.31|-|865.78|12849.13|4.66|72.25|3.57|55.33|专用设备制造业|2023-09-25|
|801150.SI|申万医药生物|688276.SH|百克生物|-|14.93|-0.66|-4.23|-|343.61|5165.61|4.14|61.76|1.35|20.13|医药制造业|2023-09-25|
|801150.SI|申万医药生物|688273.SH|麦澜德|-|26.64|-1.01|-3.65|-|113.56|3039.75|1.00|26.64|0.39|10.50|专用设备制造业|2023-09-25|
|801150.SI|申万医药生物|688271.SH|联影医疗|-|103.11|0.75|0.73|-|438.23|44966.37|8.24|849.79|4.49|462.60|专用设备制造业|2023-09-25|
|801150.SI|申万医药生物|688266.SH|泽璟制药|-|106.67|-1.99|-1.83|-|295.83|31424.90|2.65|282.36|1.68|179.16|医药制造业|2023-09-25|
|801150.SI|申万医药生物|688265.SH|南模生物|-|37.30|-0.82|-2.15|-|113.16|4187.01|0.78|29.08|0.25|9.19|研究和试验发展|2023-09-25|
|801150.SI|申万医药生物|688253.SH|英诺特|-|53.40|-1.20|-2.20|-|113.48|6038.97|1.37|73.15|0.68|36.21|医药制造业|2023-09-25|
|801150.SI|申万医药生物|688247.SH|宣泰医药|-|8.56|-0.34|-3.82|-|510.60|4401.47|4.53|38.81|1.46|12.53|医药制造业|2023-09-25|
|801150.SI|申万医药生物|688238.SH|和元生物|-|6.18|-0.21|-3.29|-|1372.60|8514.76|6.49|40.11|4.31|26.64|研究和试验发展|2023-09-25|
|801150.SI|申万医药生物|688236.SH|春立医疗|-|13.37|-0.34|-2.48|-|196.83|2633.87|3.84|51.28|0.53|7.09|专用设备制造业|2023-09-25|
|801150.SI|申万医药生物|688235.SH|百济神州|-|247.30|-6.40|-2.52|-|266.54|65854.15|15.42|3814.07|1.06|261.80|医药制造业|2023-09-25|
|801150.SI|申万医药生物|688222.SH|成都先导|-|30.49|-0.78|-2.49|-|1118.59|33892.69|4.01|122.17|2.01|61.37|研究和试验发展|2023-09-25|
|801150.SI|申万医药生物|688221.SH|前沿生物|-|15.94|-0.19|-1.18|-|1410.43|22117.33|3.75|59.71|2.43|38.68|医药制造业|2023-09-25|
|801150.SI|申万医药生物|688217.SH|睿昂基因|-|23.18|-0.79|-3.30|-|112.35|2602.64|0.56|12.95|0.33|7.69|医药制造业|2023-09-25|
|801150.SI|申万医药生物|688212.SH|澳华内镜|-|27.90|-1.55|-5.26|-|184.21|5163.44|1.35|37.57|0.88|24.45|专用设备制造业|2023-09-25|
|801150.SI|申万医药生物|688202.SH|美迪西|-|89.34|-5.12|-5.42|-|589.06|52860.87|1.34|120.03|0.76|67.50|研究和试验发展|2023-09-25|
|801150.SI|申万医药生物|688198.SH|佰仁医疗|-|67.41|-1.23|-1.79|-|26.21|1773.49|1.38|92.86|0.36|24.06|专用设备制造业|2023-09-25|
|801150.SI|申万医药生物|688197.SH|首药控股|-|31.08|-1.37|-4.22|-|163.98|5112.84|1.49|46.22|0.51|15.77|医药制造业|2023-09-25|
|801150.SI|申万医药生物|688193.SH|仁度生物|-|45.05|-0.96|-2.09|-|43.49|1950.01|0.40|18.05|0.22|9.96|医药制造业|2023-09-25|
|801150.SI|申万医药生物|688192.SH|迪哲医药|-|53.07|-1.31|-2.41|-|388.70|20563.97|4.65|246.86|1.73|91.76|医药制造业|2023-09-25|
|801150.SI|申万医药生物|688189.SH|ST南新|-|6.48|-0.10|-1.52|-|255.88|1658.26|2.73|17.68|1.42|9.22|医药制造业|2023-09-25|
|801150.SI|申万医药生物|688185.SH|康希诺|-|63.30|-2.50|-3.80|-|537.08|34170.46|2.47|156.38|0.80|50.50|医药制造业|2023-09-25|
|801150.SI|申万医药生物|688180.SH|君实生物|-|31.14|-0.53|-1.67|-|879.32|27366.81|10.27|319.71|5.80|180.63|医药制造业|2023-09-25|
|801150.SI|申万医药生物|688177.SH|百奥泰|-|16.24|-0.53|-3.16|-|281.88|4574.89|4.14|67.25|1.09|17.67|医药制造业|2023-09-25|
|801150.SI|申万医药生物|688176.SH|亚虹医药|-|12.44|-0.24|-1.89|-|1242.32|15206.23|5.72|71.18|3.77|46.93|医药制造业|2023-09-25|
|801150.SI|申万医药生物|688166.SH|博瑞医药|-|35.23|-0.89|-2.46|-|738.51|25908.25|4.36|153.53|2.73|96.15|医药制造业|2023-09-25|
|801150.SI|申万医药生物|688163.SH|赛伦生物|-|33.90|-1.34|-3.80|-|103.85|3512.21|1.08|36.69|0.44|14.96|医药制造业|2023-09-25|
|801150.SI|申万医药生物|688161.SH|威高骨科|-|21.65|-1.01|-4.46|-|212.01|4610.84|4.00|86.60|0.66|14.21|专用设备制造业|2023-09-25|
|801150.SI|申万医药生物|688151.SH|华强科技|-|17.82|1.26|7.61|-|1181.98|20558.10|3.45|61.39|0.88|15.71|医药制造业|2023-09-25|
|801150.SI|申万医药生物|688139.SH|海尔生物|-|30.82|-0.18|-0.58|-|359.51|11063.04|3.16|97.54|1.55|47.75|专用设备制造业|2023-09-25|
|801150.SI|申万医药生物|688137.SH|近岸蛋白|-|64.00|-5.67|-8.14|-|552.04|36697.39|0.70|44.75|0.22|14.27|研究和试验发展|2023-09-25|
|801150.SI|申万医药生物|688136.SH|科兴制药|-|18.98|-0.87|-4.38|-|559.90|10679.14|2.02|38.34|1.01|19.09|医药制造业|2023-09-25|
|801150.SI|申万医药生物|688131.SH|皓元医药|-|87.28|-3.49|-3.84|-|362.95|31771.01|2.13|186.11|1.40|122.21|研究和试验发展|2023-09-25|
|801150.SI|申万医药生物|688117.SH|圣诺生物|-|22.37|-0.43|-1.89|-|391.57|8760.21|2.20|49.29|1.50|33.65|医药制造业|2023-09-25|
|801150.SI|申万医药生物|688114.SH|华大智造|-|54.32|-1.63|-2.91|-|439.44|23860.43|4.17|226.25|2.15|116.89|专用设备制造业|2023-09-25|
|801150.SI|申万医药生物|688108.SH|赛诺医疗|-|15.32|-0.43|-2.73|-|741.79|11393.19|4.18|64.03|3.20|49.00|专用设备制造业|2023-09-25|
|801150.SI|申万医药生物|688105.SH|诺唯赞|-|19.50|-0.12|-0.61|-|753.85|14459.88|5.17|100.81|1.81|35.38|研究和试验发展|2023-09-25|
|801150.SI|申万医药生物|688091.SH|上海谊众|-|37.88|-1.46|-3.71|-|207.57|7888.27|2.07|78.30|1.12|42.33|医药制造业|2023-09-25|
|801150.SI|申万医药生物|688085.SH|三友医疗|-|12.81|-0.23|-1.76|-|159.62|2046.08|3.67|46.99|2.20|28.16|专用设备制造业|2023-09-25|
|801150.SI|申万医药生物|688076.SH|ST诺泰|-|28.03|-0.74|-2.57|-|227.74|6404.56|3.17|88.80|1.99|55.70|医药制造业|2023-09-25|
|801150.SI|申万医药生物|688075.SH|安旭生物|-|28.13|-0.84|-2.90|-|45.36|1283.77|1.27|35.75|0.33|9.27|医药制造业|2023-09-25|
|801150.SI|申万医药生物|688073.SH|毕得医药|-|55.66|-2.92|-4.98|-|434.30|24241.96|0.91|50.59|0.43|23.85|研究和试验发展|2023-09-25|
|801150.SI|申万医药生物|688068.SH|热景生物|-|85.00|-2.70|-3.08|-|226.39|19097.64|0.93|78.84|0.64|54.59|医药制造业|2023-09-25|
|801150.SI|申万医药生物|688067.SH|爱威科技|-|22.02|-0.71|-3.12|-|160.65|3533.04|0.68|14.97|0.36|7.85|医药制造业|2023-09-25|
|801150.SI|申万医药生物|688062.SH|迈威生物|-|24.06|-1.54|-6.02|-|859.00|20942.94|4.47|107.48|2.30|55.40|医药制造业|2023-09-25|
|801150.SI|申万医药生物|688050.SH|爱博医疗|-|37.55|-0.85|-2.21|-|226.98|8504.24|1.93|72.64|1.48|55.65|专用设备制造业|2023-09-25|
|801150.SI|申万医药生物|688046.SH|药康生物|-|29.79|-0.78|-2.55|-|785.96|23277.69|4.10|122.19|1.81|53.92|研究和试验发展|2023-09-25|
|801150.SI|申万医药生物|688029.SH|南微医学|-|73.60|0.50|0.68|-|540.78|38216.16|1.88|138.26|0.96|70.43|专用设备制造业|2023-09-25|
|801150.SI|申万医药生物|688026.SH|洁特生物|-|21.21|-0.51|-2.35|-|510.48|10767.97|1.40|29.77|0.78|16.56|橡胶和塑料制品业|2023-09-25|
|801150.SI|申万医药生物|688016.SH|心脉医疗|-|83.14|-1.78|-2.10|-|134.75|11227.19|1.23|102.48|0.72|59.52|专用设备制造业|2023-09-25|
|801150.SI|申万医药生物|688013.SH|天臣医疗|-|22.32|-0.95|-4.08|-|179.81|4003.74|0.81|18.11|0.39|8.76|专用设备制造业|2023-09-25|
|801150.SI|申万医药生物|605507.SH|国邦医药|-|15.69|-0.35|-2.18|-|384.71|6084.85|7.82|122.75|3.59|56.35|医药制造业|2021-08-09|
|801150.SI|申万医药生物|605369.SH|拱东医疗|-|15.93|-0.32|-1.97|-|171.13|2729.54|2.20|35.01|0.70|11.16|专用设备制造业|2020-09-23|
|801150.SI|申万医药生物|605266.SH|健之佳|-|15.44|-0.56|-3.50|-|182.54|2829.79|1.55|23.86|0.74|11.37|零售业|2020-12-08|
|801150.SI|申万医药生物|605199.SH|ST葫芦娃|-|5.89|-0.05|-0.84|-|67.69|398.36|4.00|23.57|1.23|7.22|医药制造业|2020-07-17|
|801150.SI|申万医药生物|605177.SH|东亚药业|-|23.57|-1.14|-4.61|-|1317.08|30716.11|1.15|27.04|0.55|13.07|医药制造业|2020-12-02|
|801150.SI|申万医药生物|605116.SH|奥锐特|-|18.90|-0.30|-1.56|-|167.15|3163.52|4.06|76.77|1.14|21.63|医药制造业|2020-09-28|
|801150.SI|申万医药生物|603998.SH|方盛制药|-|10.17|-0.24|-2.31|-|681.86|6976.63|4.39|44.65|2.74|27.82|医药制造业|2014-12-12|
|801150.SI|申万医药生物|603987.SH|康德莱|-|7.37|-0.17|-2.25|-|349.00|2580.33|4.37|32.19|2.31|17.04|专用设备制造业|2016-11-28|
|801150.SI|申万医药生物|603976.SH|正川股份|-|29.85|-1.58|-5.03|-|648.28|19626.82|1.72|51.23|0.61|18.35|医药制造业|2017-08-29|
|801150.SI|申万医药生物|603939.SH|益丰药房|-|22.48|-0.19|-0.84|-|990.27|22248.26|12.12|272.55|5.82|130.78|零售业|2015-03-03|
|801150.SI|申万医药生物|603896.SH|寿仙谷|-|14.28|-0.43|-2.92|-|154.14|2210.02|1.98|28.31|1.13|16.07|医药制造业|2017-05-17|
|801150.SI|申万医药生物|603883.SH|老百姓|-|12.48|-0.69|-5.24|-|1891.98|23963.72|7.59|94.71|3.85|48.08|零售业|2015-04-30|
|801150.SI|申万医药生物|603882.SH|金域医学|-|25.91|-0.19|-0.73|-|640.30|16401.13|4.63|120.03|2.67|69.28|卫生|2017-09-15|
|801150.SI|申万医药生物|603880.SH|南卫股份|-|9.72|-0.21|-2.11|-|950.95|9241.06|2.89|28.09|1.52|14.82|医药制造业|2017-08-14|
|801150.SI|申万医药生物|603858.SH|步长制药|-|14.46|-0.19|-1.30|-|388.65|5603.30|10.55|152.49|4.01|57.98|医药制造业|2016-11-25|
|801150.SI|申万医药生物|603811.SH|诚意药业|-|6.91|-0.17|-2.40|-|571.85|3951.48|4.58|31.66|3.40|23.48|医药制造业|2017-03-22|
|801150.SI|申万医药生物|603718.SH|*ST海利|-|3.12|-0.07|-2.19|-|586.99|1833.60|6.49|20.25|3.69|11.50|医药制造业|2026-02-03|
|801150.SI|申万医药生物|603716.SH|塞力医疗|-|16.40|-0.50|-2.96|-|801.35|13223.63|2.26|37.03|1.84|30.22|批发业|2016-11-07|
|801150.SI|申万医药生物|603707.SH|健友股份|-|7.43|-0.16|-2.11|-|639.52|4769.40|16.16|120.04|4.97|36.96|医药制造业|2017-07-26|
|801150.SI|申万医药生物|603676.SH|卫信康|-|8.77|-0.21|-2.34|-|127.93|1123.99|4.35|38.16|1.00|8.80|医药制造业|2017-07-28|
|801150.SI|申万医药生物|603669.SH|灵康药业|-|5.12|-0.17|-3.21|-|1752.47|8945.42|7.12|36.47|2.10|10.75|医药制造业|2015-06-04|
|801150.SI|申万医药生物|603658.SH|安图生物|-|31.14|-0.99|-3.08|-|235.20|7356.14|5.71|177.94|1.64|51.07|医药制造业|2016-09-08|
|801150.SI|申万医药生物|603590.SH|康辰药业|-|28.41|-0.63|-2.17|-|138.50|3933.19|1.59|45.17|0.87|24.59|医药制造业|2018-09-03|
|801150.SI|申万医药生物|603567.SH|珍宝岛|-|5.24|-0.11|-2.06|-|1951.79|10165.50|9.40|49.27|4.67|24.45|医药制造业|2015-05-04|
|801150.SI|申万医药生物|603538.SH|美诺华|-|25.42|-1.04|-3.93|-|2736.76|69559.63|3.40|86.41|2.57|65.23|医药制造业|2017-04-14|
|801150.SI|申万医药生物|603520.SH|司太立|-|8.25|-0.26|-3.06|-|883.26|7324.82|4.38|36.17|3.38|27.84|医药制造业|2016-03-16|
|801150.SI|申万医药生物|603456.SH|九洲药业|-|14.49|-0.33|-2.23|-|1518.34|22013.68|8.82|127.76|4.32|62.66|医药制造业|2014-10-17|
|801150.SI|申万医药生物|603439.SH|三力制药|-|12.54|1.14|10.00|-|2213.94|26119.31|4.04|50.64|1.80|22.53|医药制造业|2020-05-08|
|801150.SI|申万医药生物|603392.SH|万泰生物|-|26.28|-0.96|-3.52|-|606.25|15979.51|12.64|332.28|3.68|96.61|医药制造业|2020-05-11|
|801150.SI|申万医药生物|603387.SH|基蛋生物|-|9.09|-0.14|-1.52|-|594.22|5392.05|5.07|46.10|2.83|25.76|医药制造业|2017-07-24|
|801150.SI|申万医药生物|603368.SH|柳药集团|-|15.23|-0.38|-2.43|-|700.16|10687.27|3.97|60.50|2.96|45.11|批发业|2014-12-11|
|801150.SI|申万医药生物|603367.SH|辰欣药业|-|14.00|-0.29|-2.03|-|635.17|8871.51|4.53|63.39|2.35|32.93|医药制造业|2017-10-13|
|801150.SI|申万医药生物|603351.SH|威尔药业|-|25.27|0.07|0.28|-|76.46|1917.37|1.35|34.23|0.59|14.99|石油加工、炼焦和核燃料加工业|2019-02-13|
|801150.SI|申万医药生物|603309.SH|维力医疗|-|10.82|-0.27|-2.43|-|400.59|4336.15|2.92|31.58|1.45|15.70|专用设备制造业|2015-03-09|
|801150.SI|申万医药生物|603301.SH|振德医疗|-|81.24|-2.91|-3.46|-|125.93|10229.32|2.64|214.37|1.03|83.66|医药制造业|2018-04-19|
|801150.SI|申万医药生物|603259.SH|药明康德|-|151.24|-3.26|-2.11|-|3035.99|458942.16|30.26|4577.14|19.85|3002.74|研究和试验发展|2018-05-15|
|801150.SI|申万医药生物|603233.SH|大参林|-|17.70|-0.25|-1.39|-|791.49|13969.17|11.39|201.58|4.24|75.07|零售业|2017-08-07|
|801150.SI|申万医药生物|603229.SH|奥翔药业|-|7.52|-0.19|-2.46|-|632.75|4757.52|8.30|62.44|3.72|27.97|医药制造业|2017-05-16|
|801150.SI|申万医药生物|603222.SH|济民健康|-|7.78|-0.17|-2.14|-|793.07|6160.83|5.25|40.85|2.97|23.07|专用设备制造业|2015-03-03|
|801150.SI|申万医药生物|603207.SH|小方制药|-|23.70|-0.48|-1.99|-|356.62|8440.26|1.62|38.34|0.55|12.94|医药制造业|2024-09-02|
|801150.SI|申万医药生物|603205.SH|健尔康|-|22.32|0.27|1.22|-|159.55|3561.72|1.56|34.82|0.41|9.23|专用设备制造业|2024-11-14|
|801150.SI|申万医药生物|603168.SH|莎普爱思|-|5.75|-0.14|-2.38|-|626.89|3601.56|3.74|21.51|2.10|12.09|医药制造业|2014-07-09|
|801150.SI|申万医药生物|603139.SH|康惠股份|-|39.13|0.17|0.44|-|316.55|12178.80|1.06|41.66|0.57|22.12|医药制造业|2017-04-28|
|801150.SI|申万医药生物|603127.SH|昭衍新药|-|41.37|-1.20|-2.82|-|2202.06|90835.61|7.49|310.01|3.96|163.76|研究和试验发展|2017-09-01|
|801150.SI|申万医药生物|603122.SH|合富中国|-|12.25|-0.67|-5.19|-|2696.39|33282.61|3.98|48.76|1.83|22.43|批发业|2022-02-23|
|801150.SI|申万医药生物|603108.SH|润达医疗|-|9.31|-0.27|-2.82|-|1130.24|10513.85|6.05|56.29|4.25|39.55|批发业|2015-06-03|
|801150.SI|申万医药生物|603087.SH|甘李药业|-|66.34|-1.54|-2.27|-|564.55|37411.50|5.97|396.34|3.42|226.84|医药制造业|2020-07-06|
|801150.SI|申万医药生物|603014.SH|威高血净|-|30.79|-0.34|-1.09|-|95.46|2926.23|4.18|128.63|1.01|31.25|专用设备制造业|2025-05-26|
|801150.SI|申万医药生物|601607.SH|上海医药|-|16.29|-0.02|-0.12|-|870.93|14161.00|37.08|604.09|0.33|5.33|零售业|1994-03-24|
