vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,FinQuery,申万电力设备行业成分股,1,行业成分股,,,"|股票名称|股票代码|行业名称|行业级别|行业类别|
|德业股份|605117|电力设备|一级行业|申万行业分类|
|华通线缆|605196|电力设备|一级行业|申万行业分类|
|起帆电缆|605222|电力设备|一级行业|申万行业分类|
|野马电池|605378|电力设备|一级行业|申万行业分类|
|容百科技|688005|电力设备|一级行业|申万行业分类|
|杭可科技|688006|电力设备|一级行业|申万行业分类|
|禾迈股份|688032|电力设备|一级行业|申万行业分类|
|派能科技|688063|电力设备|一级行业|申万行业分类|
|天奈科技|688116|电力设备|一级行业|申万行业分类|
|微导纳米|688147|电力设备|一级行业|申万行业分类|
|芳源股份|688148|电力设备|一级行业|申万行业分类|
|先惠技术|688155|电力设备|一级行业|申万行业分类|
|ST帕瓦|688184|电力设备|一级行业|申万行业分类|
|广大特材|688186|电力设备|一级行业|申万行业分类|
|智洋创新|688191|电力设备|一级行业|申万行业分类|
|晶科能源|688223|电力设备|一级行业|申万行业分类|
|威腾电气|688226|电力设备|一级行业|申万行业分类|
|南网科技|688248|电力设备|一级行业|申万行业分类|
|万润新能|688275|电力设备|一级行业|申万行业分类|
|大全能源|688303|电力设备|一级行业|申万行业分类|
|宏力达|688330|电力设备|一级行业|申万行业分类|
|亿华通|688339|电力设备|一级行业|申万行业分类|
|博力威|688345|电力设备|一级行业|申万行业分类|
|昱能科技|688348|电力设备|一级行业|申万行业分类|
|三一重能|688349|电力设备|一级行业|申万行业分类|
|华盛锂电|688353|电力设备|一级行业|申万行业分类|
|嘉元科技|688388|电力设备|一级行业|申万行业分类|
|固德威|688390|电力设备|一级行业|申万行业分类|
|骄成超声|688392|电力设备|一级行业|申万行业分类|
|中信博|688408|电力设备|一级行业|申万行业分类|
|海博思创|688411|电力设备|一级行业|申万行业分类|
|时创能源|688429|电力设备|一级行业|申万行业分类|
|光格科技|688450|电力设备|一级行业|申万行业分类|
|阿特斯|688472|电力设备|一级行业|申万行业分类|
|利元亨|688499|电力设备|一级行业|申万行业分类|
|聚和材料|688503|电力设备|一级行业|申万行业分类|
|奥特维|688516|电力设备|一级行业|申万行业分类|
|金冠电气|688517|电力设备|一级行业|申万行业分类|
|科威尔|688551|电力设备|一级行业|申万行业分类|
|高测股份|688556|电力设备|一级行业|申万行业分类|
|明冠新材|688560|电力设备|一级行业|申万行业分类|
|孚能科技|688567|电力设备|一级行业|申万行业分类|
|信宇人|688573|电力设备|一级行业|申万行业分类|
|煜邦电力|688597|电力设备|一级行业|申万行业分类|
|天合光能|688599|电力设备|一级行业|申万行业分类|
|杭州柯林|688611|电力设备|一级行业|申万行业分类|
|西力科技|688616|电力设备|一级行业|申万行业分类|
|誉辰智能|688638|电力设备|一级行业|申万行业分类|
|电气风电|688660|电力设备|一级行业|申万行业分类|
|新风光|688663|电力设备|一级行业|申万行业分类|
|金盘科技|688676|电力设备|一级行业|申万行业分类|
|海优新材|688680|电力设备|一级行业|申万行业分类|
|科汇股份|688681|电力设备|一级行业|申万行业分类|
|振华新材|688707|电力设备|一级行业|申万行业分类|
