vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,FinQuery,申万汽车行业成分股,1,行业成分股,,,"|股票名称|股票代码|行业名称|行业级别|行业类别|
|科华控股|603161|汽车|一级行业|申万行业分类|
|福达股份|603166|汽车|一级行业|申万行业分类|
|圣龙股份|603178|汽车|一级行业|申万行业分类|
|新泉股份|603179|汽车|一级行业|申万行业分类|
|亚通精工|603190|汽车|一级行业|申万行业分类|
|保隆科技|603197|汽车|一级行业|申万行业分类|
|常润股份|603201|汽车|一级行业|申万行业分类|
|天有为|603202|汽车|一级行业|申万行业分类|
|泰鸿万立|603210|汽车|一级行业|申万行业分类|
|晋拓股份|603211|汽车|一级行业|申万行业分类|
|浙江仙通|603239|汽车|一级行业|申万行业分类|
|天龙股份|603266|汽车|一级行业|申万行业分类|
|日盈电子|603286|汽车|一级行业|申万行业分类|
|埃泰克|603293|汽车|一级行业|申万行业分类|
|旭升集团|603305|汽车|一级行业|申万行业分类|
|华懋科技|603306|汽车|一级行业|申万行业分类|
|美湖股份|603319|汽车|一级行业|申万行业分类|
|迪生力|603335|汽车|一级行业|申万行业分类|
|文灿股份|603348|汽车|一级行业|申万行业分类|
|至信股份|603352|汽车|一级行业|申万行业分类|
|华达科技|603358|汽车|一级行业|申万行业分类|
|大明电子|603376|汽车|一级行业|申万行业分类|
|通达电气|603390|汽车|一级行业|申万行业分类|
|汇通控股|603409|汽车|一级行业|申万行业分类|
|友升股份|603418|汽车|一级行业|申万行业分类|
|天博智能|603448|汽车|一级行业|申万行业分类|
|津富士达|603468|汽车|一级行业|申万行业分类|
|爱玛科技|603529|汽车|一级行业|申万行业分类|
|金麒麟|603586|汽车|一级行业|申万行业分类|
|伯特利|603596|汽车|一级行业|申万行业分类|
|朗博科技|603655|汽车|一级行业|申万行业分类|
|德宏股份|603701|汽车|一级行业|申万行业分类|
|岱美股份|603730|汽车|一级行业|申万行业分类|
|秦安股份|603758|汽车|一级行业|申万行业分类|
