vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,FinQuery,申万电子行业成分股,1,指数成分股,,,"|指数代码|指数简称|股票代码|股票简称|权重(%)|收盘价(元)|涨跌(元)|涨跌幅(%)|指数贡献点|成交量(万股)|成交额(万元)|总股本(亿股)|总市值(亿元)|自由流通股本(亿股)|自由流通市值(亿元)|证监会行业|纳入日期|
|801080.SI|申万电子|300613.SZ|富瀚微|-|66.99|-1.97|-2.86|-|958.25|63650.01|2.33|156.02|1.30|86.98|软件和信息技术服务业|2017-02-27|
|801080.SI|申万电子|300604.SZ|长川科技|-|257.70|-10.80|-4.02|-|1662.27|426653.76|6.46|1663.67|4.38|1128.92|专用设备制造业|2021-12-13|
|801080.SI|申万电子|300602.SZ|飞荣达|-|36.77|-1.60|-4.17|-|2629.29|96459.88|5.86|215.64|2.97|109.18|计算机、通信和其他电子设备制造业|2017-02-09|
|801080.SI|申万电子|300582.SZ|英飞特|-|10.48|-0.26|-2.42|-|706.55|7406.03|2.99|31.29|2.04|21.42|计算机、通信和其他电子设备制造业|2017-01-05|
|801080.SI|申万电子|300576.SZ|容大感光|-|26.84|-0.67|-2.44|-|1071.06|28540.48|4.04|108.35|2.19|58.70|计算机、通信和其他电子设备制造业|2021-12-13|
|801080.SI|申万电子|300566.SZ|激智科技|-|24.56|-0.45|-1.80|-|1276.21|30722.19|2.62|64.37|2.02|49.62|计算机、通信和其他电子设备制造业|2016-11-22|
|801080.SI|申万电子|300545.SZ|联得装备|-|26.29|-0.30|-1.13|-|609.27|15851.66|1.85|48.76|1.02|26.73|专用设备制造业|2016-10-13|
|801080.SI|申万电子|300537.SZ|广信材料|-|19.55|-0.26|-1.31|-|575.47|11121.40|2.07|40.51|1.29|25.15|化学原料和化学制品制造业|2021-12-13|
|801080.SI|申万电子|300516.SZ|久之洋|-|34.97|-0.53|-1.49|-|486.72|17001.17|2.52|88.12|0.81|28.20|计算机、通信和其他电子设备制造业|2016-06-13|
|801080.SI|申万电子|300493.SZ|润欣科技|-|12.21|-0.07|-0.57|-|1075.65|12941.75|5.13|62.58|4.07|49.65|批发业|2015-12-24|
|801080.SI|申万电子|300489.SZ|光智科技|-|206.12|-5.57|-2.63|-|893.95|183441.80|1.39|286.83|0.73|149.96|计算机、通信和其他电子设备制造业|2024-06-04|
