code_qlib,code_gildata,name,sw_l1
SH600073,600073.SH,光明肉业,食品饮料
SH600075,600075.SH,新疆天业,基础化工
SH600076,600076.SH,康欣新材,轻工制造
SH600078,600078.SH,澄星股份,基础化工
SH600079,600079.SH,ST人福,医药生物
SH600080,600080.SH,ST金花,医药生物
SH600081,600081.SH,东风科技,汽车
SH600082,600082.SH,ST海泰,房地产
SH600084,600084.SH,*ST尼雅,食品饮料
SH600085,600085.SH,同仁堂,医药生物
SH600088,600088.SH,中视传媒,传媒
SH600089,600089.SH,特变电工,电力设备
SH600094,600094.SH,大名城,房地产
SH600095,600095.SH,湘财股份,非银金融
SH600096,600096.SH,云天化,基础化工
SH600097,600097.SH,开创国际,农林牧渔
SH600098,600098.SH,广州发展,公用事业
SH600099,600099.SH,林海股份,汽车
SH600100,600100.SH,同方股份,计算机
SH600101,600101.SH,明星电力,公用事业
SH600103,600103.SH,青山纸业,轻工制造
SH600104,600104.SH,上汽集团,汽车
SH600105,600105.SH,永鼎股份,通信
SH600106,600106.SH,重庆路桥,交通运输
SH600107,600107.SH,*ST尔雅,纺织服饰
SH600108,600108.SH,亚盛集团,农林牧渔
SH600109,600109.SH,国金证券,非银金融
SH600110,600110.SH,诺德股份,电力设备
SH600111,600111.SH,北方稀土,有色金属
SH600113,600113.SH,浙江东日,商贸零售
SH600114,600114.SH,东睦股份,机械设备
SH600115,600115.SH,中国东航,交通运输
SH600116,600116.SH,三峡水利,公用事业
SH600117,600117.SH,西宁特钢,钢铁
SH600118,600118.SH,中国卫星,国防军工
SH600119,600119.SH,*ST长投,交通运输
SH600120,600120.SH,浙江东方,非银金融
SH600121,600121.SH,郑州煤电,煤炭
SH600123,600123.SH,兰花科创,煤炭
SH600125,600125.SH,铁龙物流,交通运输
SH600126,600126.SH,杭钢股份,钢铁
SH600127,600127.SH,金健米业,农林牧渔
SH600128,600128.SH,苏豪弘业,商贸零售
SH600129,600129.SH,太极集团,医药生物
SH600130,600130.SH,波导股份,电子
SH600131,600131.SH,国网信通,计算机
SH600132,600132.SH,重庆啤酒,食品饮料
SH600133,600133.SH,东湖高新,环保
SH600135,600135.SH,乐凯胶片,基础化工
SH600136,600136.SH,ST明诚,房地产
SH600137,600137.SH,浪莎股份,纺织服饰
SH600138,600138.SH,中青旅,社会服务
SH600141,600141.SH,兴发集团,基础化工
SH600143,600143.SH,金发科技,基础化工
SH600148,600148.SH,长春一东,汽车
SH600149,600149.SH,廊坊发展,公用事业
SH600150,600150.SH,中国船舶,国防军工
SH600151,600151.SH,航天机电,汽车
SH600152,600152.SH,维科技术,电力设备
SH600153,600153.SH,建发股份,交通运输
SH600155,600155.SH,华创云信,非银金融
SH600156,600156.SH,华升股份,纺织服饰
SH600157,600157.SH,永泰能源,公用事业
SH600158,600158.SH,中体产业,社会服务
SH600159,600159.SH,大龙地产,房地产
SH600160,600160.SH,巨化股份,基础化工
SH600161,600161.SH,天坛生物,医药生物
SH600162,600162.SH,香江控股,房地产
SH600163,600163.SH,中闽能源,公用事业
SH600165,600165.SH,宁科生物,基础化工
SH600166,600166.SH,福田汽车,汽车
SH600167,600167.SH,联美控股,公用事业
SH600168,600168.SH,武汉控股,环保
SH600169,600169.SH,ST太重,机械设备
SH600170,600170.SH,上海建工,建筑装饰
SH600171,600171.SH,上海贝岭,电子
SH600172,600172.SH,黄河旋风,机械设备
SH600173,600173.SH,卧龙新能,房地产
SH600176,600176.SH,中国巨石,建筑材料
SH600177,600177.SH,雅戈尔,纺织服饰
SH600178,600178.SH,东安动力,汽车
SH600179,600179.SH,安通控股,交通运输
SH600180,600180.SH,*ST瑞茂,交通运输
SH600182,600182.SH,S佳通,汽车
SH600183,600183.SH,生益科技,电子
SH600184,600184.SH,光电股份,国防军工
SH600185,600185.SH,珠免集团,商贸零售
SH600186,600186.SH,莲花控股,食品饮料
SH600187,600187.SH,*ST国中,环保
SH600188,600188.SH,兖矿能源,煤炭
SH600189,600189.SH,泉阳泉,食品饮料
SH600191,600191.SH,华资实业,农林牧渔
SH600192,600192.SH,长城电工,电力设备
SH600195,600195.SH,中牧股份,农林牧渔
SH600196,600196.SH,复星医药,医药生物
SH600197,600197.SH,伊力特,食品饮料
SH600198,600198.SH,大唐电信,通信
SH600199,600199.SH,金种子酒,食品饮料
SH600201,600201.SH,生物股份,农林牧渔
SH600202,600202.SH,哈空调,机械设备
SH600203,600203.SH,福日电子,电子
SH600206,600206.SH,有研新材,电子
SH600207,600207.SH,安彩高科,电力设备
SH600208,600208.SH,衢州发展,房地产
SH600210,600210.SH,紫江企业,轻工制造
SH600211,600211.SH,西藏药业,医药生物
SH600212,600212.SH,绿能慧充,电力设备
SH600215,600215.SH,派斯林,机械设备
SH600216,600216.SH,浙江医药,医药生物
SH600217,600217.SH,中再资环,环保
SH600218,600218.SH,全柴动力,汽车
SH600219,600219.SH,南山铝业,有色金属
SH600221,600221.SH,海航控股,交通运输
SH600222,600222.SH,太龙药业,医药生物
SH600223,600223.SH,福瑞达,美容护理
SH600226,600226.SH,亨通股份,公用事业
SH600227,600227.SH,赤天化,基础化工
SH600228,600228.SH,返利科技,传媒
SH600229,600229.SH,城市传媒,传媒
SH600230,600230.SH,沧州大化,基础化工
SH600231,600231.SH,凌钢股份,钢铁
SH600232,600232.SH,金鹰股份,机械设备
SH600233,600233.SH,圆通速递,交通运输
SH600234,600234.SH,科新发展,建筑装饰
SH600235,600235.SH,民丰特纸,轻工制造
SH600236,600236.SH,桂冠电力,公用事业
SH600237,600237.SH,铜峰电子,电子
SH600238,600238.SH,ST椰岛,食品饮料
SH600239,600239.SH,ST云城,房地产
SH600241,600241.SH,时代万恒,电力设备
SH600243,600243.SH,*ST海华,机械设备
SH600246,600246.SH,万通发展,房地产
SH600248,600248.SH,陕建股份,建筑装饰
SH600249,600249.SH,两面针,美容护理
SH600250,600250.SH,南京商旅,社会服务
SH600251,600251.SH,冠农股份,农林牧渔
SH600252,600252.SH,中恒集团,医药生物
SH600255,600255.SH,鑫科材料,有色金属
SH600256,600256.SH,广汇能源,石油石化
SH600257,600257.SH,大湖股份,农林牧渔
SH600258,600258.SH,首旅酒店,社会服务
SH600259,600259.SH,中稀有色,有色金属
SH600261,600261.SH,阳光照明,家用电器
SH600262,600262.SH,北方股份,机械设备
SH600265,600265.SH,*ST景谷,农林牧渔
SH600266,600266.SH,城建发展,房地产
SH600267,600267.SH,海正药业,医药生物
SH600268,600268.SH,国电南自,电力设备
SH600269,600269.SH,赣粤高速,交通运输
SH600271,600271.SH,航天信息,计算机
SH600272,600272.SH,开开实业,医药生物
SH600273,600273.SH,嘉化能源,基础化工
SH600276,600276.SH,恒瑞医药,医药生物
SH600278,600278.SH,东方创业,商贸零售
SH600279,600279.SH,重庆港,交通运输
SH600280,600280.SH,中央商场,商贸零售
