code_gildata,name,wind_sw_l1
000919.SZ,金陵药业,医药生物
000920.SZ,沃顿科技,基础化工
000921.SZ,海信家电,家用电器
000922.SZ,佳电股份,电力设备
000923.SZ,河钢资源,钢铁
000925.SZ,众合科技,机械设备
000926.SZ,福星股份,房地产
000927.SZ,中国铁物,机械设备
000928.SZ,中钢国际,建筑装饰
000929.SZ,兰州黄河,食品饮料
000930.SZ,中粮科技,农林牧渔
000931.SZ,中关村,医药生物
000932.SZ,华菱钢铁,钢铁
000933.SZ,神火股份,有色金属
000935.SZ,四川双马,非银金融
000936.SZ,华西股份,基础化工
000937.SZ,冀中能源,煤炭
000938.SZ,紫光股份,计算机
000948.SZ,南天信息,计算机
000949.SZ,新乡化纤,基础化工
000950.SZ,重药控股,医药生物
000951.SZ,中国重汽,汽车
000952.SZ,广济药业,医药生物
000953.SZ,中哲精化,医药生物
000955.SZ,欣龙控股,纺织服饰
000957.SZ,中通客车,汽车
000958.SZ,电投产融,公用事业
000959.SZ,首钢股份,钢铁
000960.SZ,锡业股份,有色金属
000962.SZ,东方钽业,有色金属
000963.SZ,华东医药,医药生物
000965.SZ,天保基建,房地产
000966.SZ,长源电力,公用事业
000967.SZ,盈峰环境,环保
000968.SZ,蓝焰控股,石油石化
000969.SZ,安泰科技,有色金属
000970.SZ,中科三环,有色金属
000972.SZ,中基健康,农林牧渔
000973.SZ,佛塑科技,基础化工
000975.SZ,山金国际,有色金属
000977.SZ,浪潮信息,计算机
000978.SZ,桂林旅游,社会服务
000980.SZ,众泰汽车,汽车
000981.SZ,山子高科,汽车
000983.SZ,山西焦煤,煤炭
000985.SZ,大庆华科,石油石化
000987.SZ,越秀资本,非银金融
000988.SZ,华工科技,机械设备
000989.SZ,九芝堂,医药生物
000990.SZ,诚志股份,基础化工
000993.SZ,闽东电力,公用事业
000995.SZ,皇台酒业,食品饮料
000997.SZ,新大陆,计算机
000998.SZ,隆平高科,农林牧渔
000999.SZ,华润三九,医药生物
001201.SZ,东瑞股份,农林牧渔
001202.SZ,炬申股份,交通运输
001203.SZ,大中矿业,钢铁
001205.SZ,盛航股份,交通运输
001206.SZ,依依股份,美容护理
001207.SZ,联科科技,基础化工
001208.SZ,华菱线缆,电力设备
001209.SZ,洪兴股份,纺织服饰
001210.SZ,金房能源,公用事业
001211.SZ,双枪科技,轻工制造
001212.SZ,中旗新材,建筑材料
001213.SZ,中铁特货,交通运输
001215.SZ,千味央厨,食品饮料
001216.SZ,华瓷股份,轻工制造
001217.SZ,华尔泰,基础化工
001218.SZ,丽臣实业,基础化工
