vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,SmartStockSelection,所有A股及其申万一级行业,1,智能选股,,,"智能选股工具共筛选出 5901 个符合条件标的，以下列出前 500 条
|证券代码|证券简称|所属申万行业名称<[等级]:一级>|涨跌幅（%）<[交易日期]:2026-09-11><[复权方式]:不复权>|
|600176.SH|中国巨石|建筑材料|2.76|
|002212.SZ|天融信|计算机|2.75|
|300684.SZ|中石科技|电子|2.75|
|603105.SH|芯能科技|公用事业|2.74|
|600818.SH|ST中路|汽车|2.66|
|301158.SZ|德石股份|机械设备|2.63|
|600706.SH|曲江文旅|社会服务|2.62|
|603398.SH|*ST沐邦|电力设备|2.62|
|603196.SH|璞源材料|纺织服饰|2.6|
|603138.SH|海量数据|计算机|2.58|
|300037.SZ|新宙邦|电力设备|2.57|
|000909.SZ|*ST数源|房地产|2.57|
|002478.SZ|常宝股份|钢铁|2.56|
|600698.SH|湖南天雁|汽车|2.55|
|002202.SZ|金风科技|电力设备|2.54|
|300939.SZ|秋田微|电子|2.51|
|300565.SZ|科信技术|通信|2.5|
|002138.SZ|顺络电子|电子|2.49|
|002897.SZ|意华股份|通信|2.48|
|001330.SZ|博纳影业|传媒|2.45|
|002171.SZ|楚江新材|有色金属|2.45|
|002651.SZ|利君股份|国防军工|2.44|
|688216.SH|气派科技|电子|2.43|
|300430.SZ|*ST益通|医药生物|2.42|
|300830.SZ|金现代|计算机|2.41|
|300902.SZ|国安达|机械设备|2.38|
|301283.SZ|聚胶股份|基础化工|2.38|
|300903.SZ|科翔股份|电子|2.37|
|000056.SZ|*ST皇庭|房地产|2.36|
|600100.SH|同方股份|计算机|2.35|
|002498.SZ|汉缆股份|电力设备|2.34|
|603115.SH|海星股份|电子|2.34|
|603291.SH|联合水务|环保|2.31|
|300460.SZ|ST惠伦|电子|2.31|
|603685.SH|晨丰科技|电子|2.26|
|603221.SH|爱丽家居|轻工制造|2.25|
|002088.SZ|鲁阳节能|建筑材料|2.24|
|301528.SZ|多浦乐|机械设备|2.24|
|002108.SZ|沧州明珠|基础化工|2.22|
|300572.SZ|安车检测|机械设备|2.21|
|603296.SH|华勤技术|电子|2.17|
|002896.SZ|中大力德|机械设备|2.15|
|920770.BJ|艾能聚|电力设备|2.11|
|002913.SZ|奥士康|电子|2.11|
|688155.SH|先惠技术|电力设备|2.11|
|002579.SZ|中京电子|电子|2.09|
|600676.SH|久事动娱|汽车|2.09|
|600487.SH|亨通光电|通信|2.08|
|920238.BJ|长鹰硬科|机械设备|2.08|
|301087.SZ|可孚医疗|医药生物|2.07|
|002413.SZ|雷科防务|国防军工|2.06|
|603355.SH|莱克电气|家用电器|2.06|
|300443.SZ|金雷股份|电力设备|2.04|
|002632.SZ|道明光学|基础化工|2.02|
|300875.SZ|捷强装备|国防军工|2.02|
|002600.SZ|领益智造|电子|2.02|
|002026.SZ|山东威达|机械设备|2.01|
|688115.SH|思林杰|机械设备|2.0|
|688281.SH|华秦科技|国防军工|1.97|
|301025.SZ|读客文化|传媒|1.97|
|300654.SZ|世纪天鸿|传媒|1.96|
|600293.SH|三峡新材|建筑材料|1.94|
|000670.SZ|盈方微|电子|1.94|
|300265.SZ|通光线缆|电力设备|1.92|
|603638.SH|艾迪精密|机械设备|1.91|
|605162.SH|新中港|公用事业|1.88|
|603712.SH|七一二|国防军工|1.86|
|000978.SZ|桂林旅游|社会服务|1.86|
|688292.SH|浩瀚深度|计算机|1.85|
|688561.SH|奇安信|计算机|1.85|
|301381.SZ|赛维时代|商贸零售|1.85|
|002446.SZ|盛路通信|国防军工|1.84|
|002577.SZ|雷柏科技|计算机|1.83|
|002925.SZ|盈趣科技|电子|1.82|
|003004.SZ|声迅股份|计算机|1.8|
|600180.SH|*ST瑞茂|交通运输|1.78|
|603459.SH|红板科技|电子|1.77|
|002189.SZ|中光学|国防军工|1.77|
|300726.SZ|宏达电子|国防军工|1.76|
|600198.SH|大唐电信|通信|1.75|
|600491.SH|ST龙元|建筑装饰|1.73|
|000752.SZ|*ST西发|食品饮料|1.73|
|002475.SZ|立讯精密|电子|1.73|
|920269.BJ|杰锋动力|汽车|1.72|
|688635.SH|长进光子|通信|1.72|
|600236.SH|桂冠电力|公用事业|1.72|
|688325.SH|赛微微电|电子|1.71|
|601330.SH|绿色动力|环保|1.7|
|301607.SZ|富特科技|汽车|1.69|
