vendor,tool_name,query,result_index,api_name,title,score,table_markdown,retrieved_at
gildata,SmartStockSelection,所有属于申万电力设备行业的A股，返回证券代码和证券简称,1,智能选股,,,"智能选股工具共筛选出 418 个符合条件标的，以下列出前 418 条
|证券代码|证券简称|证券编码|所属申万行业名称<[等级]:一级>|涨跌幅（%）<[交易日期]:2026-09-11><[复权方式]:不复权>|
|002851.SZ|麦格米特|002851|电力设备|-1.64|
|001283.SZ|豪鹏科技|001283|电力设备|-1.65|
|688186.SH|广大特材|688186|电力设备|-1.66|
|300360.SZ|炬华科技|300360|电力设备|-1.67|
|920167.BJ|同享科技|920167|电力设备|-1.67|
|002534.SZ|西子洁能|002534|电力设备|-1.69|
|002857.SZ|三晖电气|002857|电力设备|-1.69|
|603628.SH|清源股份|603628|电力设备|-1.69|
|003022.SZ|联泓新科|003022|电力设备|-1.7|
|002533.SZ|金杯电工|002533|电力设备|-1.71|
|301587.SZ|中瑞股份|301587|电力设备|-1.71|
|000009.SZ|中国宝安|000009|电力设备|-1.71|
|920985.BJ|海泰新能|920985|电力设备|-1.72|
|300423.SZ|昇辉科技|300423|电力设备|-1.73|
|002576.SZ|通达动力|002576|电力设备|-1.74|
|688330.SH|宏力达|688330|电力设备|-1.74|
|301599.SZ|理奇智能|301599|电力设备|-1.75|
|002927.SZ|泰永长征|002927|电力设备|-1.75|
|688223.SH|晶科能源|688223|电力设备|-1.76|
|002074.SZ|国轩高科|002074|电力设备|-1.77|
|300274.SZ|阳光电源|300274|电力设备|-1.78|
|603489.SH|八方股份|603489|电力设备|-1.79|
|600525.SH|长园集团|600525|电力设备|-1.79|
|600537.SH|*ST亿晶|600537|电力设备|-1.79|
|688517.SH|金冠电气|688517|电力设备|-1.8|
|002823.SZ|凯中精密|002823|电力设备|-1.81|
|002058.SZ|紫竹高科|002058|电力设备|-1.82|
|605222.SH|起帆电缆|605222|电力设备|-1.82|
|301232.SZ|飞沃科技|301232|电力设备|-1.84|
|300907.SZ|康平科技|300907|电力设备|-1.86|
|603985.SH|恒润股份|603985|电力设备|-1.88|
|002606.SZ|大连电瓷|002606|电力设备|-1.89|
